game_pk,game_time_local,day_night_code,venue_name,home_team,away_team,double_header,double_header_type,Sum of attendance
564734,4/4/2019 19:07,N,Angel Stadium,Angels,Rangers,N,,42027
564735,4/5/2019 19:07,N,Angel Stadium,Angels,Rangers,N,,41089
564736,4/6/2019 13:05,D,Angel Stadium,Angels,Rangers,N,,31747
564737,4/7/2019 13:07,D,Angel Stadium,Angels,Rangers,N,,42076
564738,4/8/2019 19:07,N,Angel Stadium,Angels,Brewers,N,,28571
564739,4/9/2019 19:07,N,Angel Stadium,Angels,Brewers,N,,28793
564740,4/10/2019 19:07,N,Angel Stadium,Angels,Brewers,N,,30446
564741,4/18/2019 19:07,N,Angel Stadium,Angels,Mariners,N,,33592
564742,4/19/2019 19:07,N,Angel Stadium,Angels,Mariners,N,,41021
564743,4/20/2019 18:07,N,Angel Stadium,Angels,Mariners,N,,41147
564744,4/21/2019 13:07,D,Angel Stadium,Angels,Mariners,N,,34155
564745,4/22/2019 19:07,N,Angel Stadium,Angels,Yankees,N,,35403
564746,4/23/2019 19:07,N,Angel Stadium,Angels,Yankees,N,,38016
564747,4/24/2019 19:07,N,Angel Stadium,Angels,Yankees,N,,37928
564748,4/25/2019 18:07,N,Angel Stadium,Angels,Yankees,N,,39584
564749,4/30/2019 19:07,N,Angel Stadium,Angels,Blue Jays,N,,38797
564750,5/1/2019 19:07,N,Angel Stadium,Angels,Blue Jays,N,,33082
564751,5/2/2019 19:07,N,Angel Stadium,Angels,Blue Jays,N,,40064
564752,5/4/2019 18:10,N,Estadio de Beisbol Monterrey,Angels,Astros,N,,18177
564753,5/5/2019 15:10,D,Estadio de Beisbol Monterrey,Angels,Astros,N,,17614
564754,5/17/2019 19:07,N,Angel Stadium,Angels,Royals,N,,43444
564755,5/18/2019 19:07,N,Angel Stadium,Angels,Royals,N,,43415
564756,5/19/2019 13:07,D,Angel Stadium,Angels,Royals,N,,43329
564757,5/20/2019 19:07,N,Angel Stadium,Angels,Twins,N,,34177
564758,5/21/2019 19:07,N,Angel Stadium,Angels,Twins,N,,32316
564759,5/23/2019 13:07,D,Angel Stadium,Angels,Twins,N,,30992
564760,5/24/2019 19:07,N,Angel Stadium,Angels,Rangers,N,,43806
564761,5/25/2019 19:07,N,Angel Stadium,Angels,Rangers,N,,36392
564762,5/26/2019 13:07,D,Angel Stadium,Angels,Rangers,N,,39406
564763,6/4/2019 19:07,N,Angel Stadium,Angels,Athletics,N,,36009
564764,6/5/2019 19:07,N,Angel Stadium,Angels,Athletics,N,,36065
564765,6/6/2019 19:07,N,Angel Stadium,Angels,Athletics,N,,34109
564766,6/7/2019 19:07,N,Angel Stadium,Angels,Mariners,N,,41495
564767,6/8/2019 19:07,N,Angel Stadium,Angels,Mariners,N,,40569
564768,6/9/2019 13:07,D,Angel Stadium,Angels,Mariners,N,,41614
564769,6/10/2019 19:07,N,Angel Stadium,Angels,Dodgers,N,,45477
564770,6/11/2019 19:07,N,Angel Stadium,Angels,Dodgers,N,,45404
564771,6/25/2019 19:07,N,Angel Stadium,Angels,Reds,N,,37260
564772,6/26/2019 17:07,N,Angel Stadium,Angels,Reds,N,,35272
564773,6/27/2019 19:07,N,Angel Stadium,Angels,Athletics,N,,40231
564774,6/28/2019 19:07,N,Angel Stadium,Angels,Athletics,N,,41913
564775,6/29/2019 19:07,N,Angel Stadium,Angels,Athletics,N,,41447
564776,6/30/2019 13:07,D,Angel Stadium,Angels,Athletics,N,,37668
564777,7/12/2019 19:07,N,Angel Stadium,Angels,Mariners,N,,43140
564778,7/13/2019 18:07,N,Angel Stadium,Angels,Mariners,N,,41549
564779,7/14/2019 13:07,D,Angel Stadium,Angels,Mariners,N,,38560
564780,7/15/2019 19:07,N,Angel Stadium,Angels,Astros,N,,35431
564781,7/16/2019 19:07,N,Angel Stadium,Angels,Astros,N,,42678
564782,7/17/2019 19:07,N,Angel Stadium,Angels,Astros,N,,35738
564783,7/18/2019 18:07,N,Angel Stadium,Angels,Astros,N,,35928
564784,7/25/2019 19:07,N,Angel Stadium,Angels,Orioles,N,,36214
564785,7/26/2019 19:07,N,Angel Stadium,Angels,Orioles,N,,38852
564786,7/27/2019 18:07,N,Angel Stadium,Angels,Orioles,N,,42289
564787,7/28/2019 13:07,D,Angel Stadium,Angels,Orioles,N,,35447
564788,7/29/2019 19:07,N,Angel Stadium,Angels,Tigers,N,,35457
564789,7/30/2019 19:07,N,Angel Stadium,Angels,Tigers,N,,33907
564790,7/31/2019 13:07,D,Angel Stadium,Angels,Tigers,N,,37511
564791,8/12/2019 19:07,N,Angel Stadium,Angels,Pirates,N,,33527
