game_pk,team_nickname,promotion_name
564735,angels,Bobblehead
564743,angels,Fireworks
564755,angels,Fireworks
564761,angels,Fireworks
564767,angels,Fireworks
564775,angels,Fireworks
564778,angels,Fireworks
564781,angels,Bobblehead
564786,angels,Fireworks
564796,angels,Fireworks
564801,angels,Fireworks
564806,angels,Bobblehead
564807,angels,Fireworks
564813,angels,Fireworks
564840,d-backs,Bobblehead
564842,d-backs,Fireworks
564849,d-backs,Fireworks
564866,d-backs,Fireworks
564867,d-backs,Bobblehead
564876,d-backs,Fireworks
564877,d-backs,Bobblehead
564902,d-backs,Fireworks
564970,orioles,Fireworks
564973,orioles,Fireworks
564976,orioles,Bobblehead
565046,red-sox,Bobblehead
565065,red-sox,Bobblehead
565073,red-sox,Bobblehead
565084,red-sox,Bobblehead
565095,red-sox,Bobblehead
565102,red-sox,Bobblehead
565143,cubs,Bobblehead
565162,cubs,Bobblehead
565172,cubs,Bobblehead
565175,cubs,Bobblehead
565180,cubs,Bobblehead
565197,cubs,Bobblehead
565234,reds,Fireworks
565235,reds,Bobblehead
565241,reds,Fireworks
565242,reds,Bobblehead
565247,reds,Fireworks
565248,reds,Bobblehead
565250,reds,Fireworks
565251,reds,Bobblehead
565256,reds,Fireworks
565261,reds,Fireworks
565265,reds,Bobblehead
565266,reds,Fireworks
565269,reds,Fireworks
565270,reds,Bobblehead
565282,reds,Fireworks
565283,reds,Bobblehead
565292,reds,Fireworks
565293,reds,Bobblehead
565295,reds,Fireworks
565335,guardians,Fireworks
565342,guardians,Fireworks
565343,guardians,Bobblehead
565346,guardians,Bobblehead
565348,guardians,Fireworks
565353,guardians,Fireworks
565359,guardians,Fireworks
565360,guardians,Fireworks
565364,guardians,Bobblehead
565366,guardians,Fireworks
565367,guardians,Fireworks
565372,guardians,Fireworks
565373,guardians,Fireworks
565381,guardians,Fireworks
565382,guardians,Bobblehead
565382,guardians,Fireworks
565389,guardians,Fireworks
565391,guardians,Bobblehead
565394,guardians,Fireworks
565395,guardians,Fireworks
565455,rockies,Bobblehead
565456,rockies,Fireworks
565457,rockies,Fireworks
565460,rockies,Bobblehead
565469,rockies,Bobblehead
565487,rockies,Bobblehead
565491,rockies,Fireworks
565541,tigers,Fireworks
565544,tigers,Fireworks
565550,tigers,Fireworks
565551,tigers,Bobblehead
565553,tigers,Fireworks
565554,tigers,Bobblehead
565556,tigers,Fireworks
565565,tigers,Fireworks
565574,tigers,Fireworks
565581,tigers,Fireworks
565585,tigers,Fireworks
565606,astros,Fireworks
565616,astros,Bobblehead
565616,astros,Fireworks
565619,astros,Bobblehead
565623,astros,Fireworks
565628,astros,Bobblehead
565630,astros,Fireworks
565636,astros,Fireworks
565640,astros,Bobblehead
565641,astros,Fireworks
565645,astros,Bobblehead
565647,astros,Fireworks
565650,astros,Fireworks
565651,astros,Bobblehead
565653,astros,Fireworks
565656,astros,Bobblehead
565659,astros,Fireworks
565666,astros,Bobblehead
565668,astros,Fireworks
565675,astros,Fireworks
565676,astros,Bobblehead
565683,astros,Bobblehead
565684,astros,Fireworks
565685,astros,Bobblehead
565721,royals,Fireworks
565722,royals,Bobblehead
565733,royals,Fireworks
565740,royals,Fireworks
565746,royals,Fireworks
565747,royals,Bobblehead
565754,royals,Fireworks
565762,royals,Fireworks
565763,royals,Bobblehead
565769,royals,Fireworks
565800,dodgers,Fireworks
565801,dodgers,Bobblehead
565806,dodgers,Fireworks
565807,dodgers,Bobblehead
565812,dodgers,Fireworks
565813,dodgers,Bobblehead
565818,dodgers,Bobblehead
565819,dodgers,Fireworks
565823,dodgers,Bobblehead
565828,dodgers,Fireworks
565829,dodgers,Bobblehead
565831,dodgers,Bobblehead
565832,dodgers,Fireworks
565836,dodgers,Bobblehead
565839,dodgers,Fireworks
565843,dodgers,Bobblehead
565844,dodgers,Fireworks
565845,dodgers,Fireworks
565848,dodgers,Fireworks
565849,dodgers,Bobblehead
565854,dodgers,Fireworks
565857,dodgers,Bobblehead
565860,dodgers,Fireworks
565865,dodgers,Bobblehead
565866,dodgers,Fireworks
565871,dodgers,Bobblehead
565872,dodgers,Fireworks
565875,dodgers,Bobblehead
565877,dodgers,Fireworks
565878,dodgers,Bobblehead
565900,nationals,Bobblehead
565906,nationals,Fireworks
565914,nationals,Bobblehead
565919,nationals,Fireworks
565920,nationals,Bobblehead
565926,nationals,Fireworks
565927,nationals,Bobblehead
565933,nationals,Bobblehead
565936,nationals,Bobblehead
565937,nationals,Fireworks
565956,nationals,Bobblehead
565960,nationals,Fireworks
565991,mets,Bobblehead
565992,mets,Bobblehead
565999,mets,Bobblehead
566006,mets,Fireworks
566013,mets,Bobblehead
566032,mets,Bobblehead
566037,mets,Bobblehead
566037,mets,Bobblehead
566049,mets,Fireworks
566097,athletics,Bobblehead
566105,athletics,Fireworks
566117,athletics,Fireworks
566125,athletics,Bobblehead
566128,athletics,Fireworks
566137,athletics,Fireworks
566145,athletics,Fireworks
566157,athletics,Fireworks
566158,athletics,Bobblehead
566162,athletics,Bobblehead
566163,athletics,Fireworks
566164,athletics,Bobblehead
566194,pirates,Bobblehead
566201,pirates,Fireworks
566206,pirates,Bobblehead
566213,pirates,Fireworks
566224,pirates,Bobblehead
566231,pirates,Fireworks
566243,pirates,Fireworks
566250,pirates,Bobblehead
566258,pirates,Fireworks
566259,pirates,Bobblehead
566277,padres,Bobblehead
566277,padres,Fireworks
566317,padres,Fireworks
566326,padres,Bobblehead
566338,padres,Fireworks
566386,mariners,Bobblehead
566394,mariners,Bobblehead
566400,mariners,Fireworks
566415,mariners,Fireworks
566419,mariners,Bobblehead
566427,mariners,Fireworks
566432,mariners,Bobblehead
566435,mariners,Fireworks
566444,mariners,Fireworks
566445,mariners,Bobblehead
566450,mariners,Fireworks
566472,giants,Bobblehead
566482,giants,Bobblehead
566488,giants,Bobblehead
566511,giants,Bobblehead
566517,giants,Bobblehead
566537,giants,Bobblehead
566545,giants,Bobblehead
566568,cardinals,Bobblehead
566587,cardinals,Bobblehead
566592,cardinals,Bobblehead
566618,cardinals,Bobblehead
566640,cardinals,Bobblehead
566666,rays,Bobblehead
566693,rays,Bobblehead
566724,rays,Bobblehead
566769,rangers,Fireworks
566775,rangers,Fireworks
566776,rangers,Bobblehead
566780,rangers,Fireworks
566781,rangers,Bobblehead
566783,rangers,Fireworks
566789,rangers,Fireworks
566791,rangers,Bobblehead
566796,rangers,Fireworks
566797,rangers,Bobblehead
566803,rangers,Fireworks
566804,rangers,Bobblehead
566808,rangers,Fireworks
566809,rangers,Fireworks
566811,rangers,Fireworks
566812,rangers,Bobblehead
566818,rangers,Fireworks
566824,rangers,Bobblehead
566827,rangers,Fireworks
566828,rangers,Bobblehead
566834,rangers,Fireworks
566840,rangers,Fireworks
566841,rangers,Bobblehead
566846,rangers,Fireworks
566847,rangers,Fireworks
566875,blue-jays,Bobblehead
566945,twins,Fireworks
566985,twins,Bobblehead
566993,twins,Fireworks
567002,twins,Fireworks
567008,twins,Bobblehead
567008,twins,Fireworks
567014,twins,Fireworks
567015,twins,Bobblehead
567021,twins,Fireworks
567027,twins,Fireworks
567028,twins,Bobblehead
567031,twins,Bobblehead
567103,phillies,Fireworks
567104,phillies,Fireworks
567160,braves,Fireworks
567164,braves,Fireworks
567166,braves,Bobblehead
567170,braves,Bobblehead
567170,braves,Fireworks
567184,braves,Bobblehead
567185,braves,Fireworks
567187,braves,Bobblehead
567190,braves,Fireworks
567199,braves,Bobblehead
567202,braves,Fireworks
567211,braves,Bobblehead
567211,braves,Fireworks
567215,braves,Fireworks
567218,braves,Bobblehead
567219,braves,Bobblehead
567221,braves,Fireworks
567223,braves,Bobblehead
567227,braves,Fireworks
567233,braves,Fireworks
567239,braves,Fireworks
567242,braves,Bobblehead
567245,braves,Fireworks
567247,braves,Bobblehead
567272,white-sox,Fireworks
567273,white-sox,Bobblehead
567279,white-sox,Fireworks
567280,white-sox,Bobblehead
567285,white-sox,Fireworks
567286,white-sox,Bobblehead
567292,white-sox,Fireworks
567298,white-sox,Fireworks
567301,white-sox,Fireworks
567305,white-sox,Fireworks
567313,white-sox,Fireworks
567314,white-sox,Bobblehead
567314,white-sox,Fireworks
567320,white-sox,Bobblehead
567326,white-sox,Fireworks
567332,white-sox,Fireworks
567401,marlins,Bobblehead
567418,marlins,Bobblehead
567424,marlins,Bobblehead
567431,marlins,Bobblehead
567438,marlins,Bobblehead
567462,yankees,Bobblehead
567472,yankees,Bobblehead
567484,yankees,Bobblehead
567503,yankees,Bobblehead
567509,yankees,Bobblehead
567525,yankees,Bobblehead
567555,brewers,Bobblehead
567572,brewers,Bobblehead
567586,brewers,Bobblehead
567596,brewers,Bobblehead
567611,brewers,Bobblehead
567616,brewers,Bobblehead
571505,mlb,Fireworks
571506,mlb,Fireworks
571506,mlb,Fireworks
571519,mlb,Fireworks
571519,mlb,Fireworks
571528,mlb,Fireworks
571528,mlb,Fireworks
571529,mlb,Fireworks
571534,mlb,Fireworks
571538,mlb,Fireworks
571541,mlb,Fireworks
571541,mlb,Fireworks
571542,mlb,Fireworks
571546,mlb,Fireworks
571547,mlb,Fireworks
571548,mlb,Fireworks
571548,mlb,Fireworks
571549,mlb,Bobblehead
571549,mlb,Fireworks
571551,mlb,Fireworks
571551,mlb,Fireworks
571552,mlb,Fireworks
571552,mlb,Fireworks
571552,mlb,Fireworks
571553,mlb,Bobblehead
571553,mlb,Fireworks
571558,mlb,Fireworks
571559,mlb,Bobblehead
571567,mlb,Fireworks
571568,mlb,Fireworks
571569,mlb,Bobblehead
571571,mlb,Fireworks
571572,mlb,Bobblehead
571575,mlb,Fireworks
571592,mlb,Bobblehead
571595,mlb,Fireworks
571598,mlb,Fireworks
571602,mlb,Fireworks
571603,mlb,Fireworks
571604,mlb,Fireworks
571609,mlb,Fireworks
571611,mlb,Fireworks
571613,mlb,Fireworks
571614,mlb,Fireworks
571619,mlb,Fireworks
571620,mlb,Bobblehead
571624,mlb,Fireworks
571625,mlb,Fireworks
571626,mlb,Bobblehead
571627,mlb,Fireworks
571632,mlb,Fireworks
571633,mlb,Bobblehead
571634,mlb,Fireworks
571635,mlb,Fireworks
571636,mlb,Fireworks
571637,mlb,Fireworks
571639,mlb,Fireworks
571644,mlb,Fireworks
571659,mlb,Fireworks
571660,mlb,Bobblehead
571665,mlb,Fireworks
571667,mlb,Fireworks
571669,mlb,Fireworks
571675,mlb,Fireworks
571678,mlb,Fireworks
571684,mlb,Fireworks
571685,mlb,Fireworks
571692,mlb,Fireworks
571693,mlb,Fireworks
571704,mlb,Fireworks
571711,mlb,Fireworks
571713,mlb,Fireworks
571808,mlb,Fireworks
571824,mlb,Bobblehead
571825,mlb,Fireworks
571828,mlb,Fireworks
571829,mlb,Fireworks
571832,mlb,Fireworks
571839,mlb,Fireworks
571843,mlb,Fireworks
571849,mlb,Fireworks
571854,mlb,Fireworks
571869,mlb,Fireworks
571870,mlb,Bobblehead
571878,mlb,Fireworks
571880,mlb,Fireworks
571888,mlb,Fireworks
571891,mlb,Fireworks
571892,mlb,Bobblehead
571892,mlb,Fireworks
571898,mlb,Fireworks
571899,mlb,Fireworks
571901,mlb,Fireworks
571902,mlb,Fireworks
571905,mlb,Fireworks
571906,mlb,Bobblehead
571911,mlb,Fireworks
571912,mlb,Bobblehead
571912,mlb,Fireworks
571918,mlb,Fireworks
571921,mlb,Fireworks
571925,mlb,Fireworks
571926,mlb,Fireworks
571927,mlb,Fireworks
571934,mlb,Fireworks
571939,mlb,Fireworks
571940,mlb,Fireworks
571943,mlb,Fireworks
571944,mlb,Fireworks
571955,mlb,Fireworks
571999,mlb,Fireworks
572006,mlb,Fireworks
572011,mlb,Bobblehead
572011,mlb,Fireworks
572012,mlb,Fireworks
572020,mlb,Fireworks
572021,mlb,Fireworks
572025,mlb,Bobblehead
572027,mlb,Fireworks
572028,mlb,Fireworks
572033,mlb,Fireworks
572034,mlb,Fireworks
572035,mlb,Bobblehead
572038,mlb,Fireworks
572045,mlb,Bobblehead
572046,mlb,Fireworks
572048,mlb,Fireworks
572053,mlb,Fireworks
572054,mlb,Fireworks
572056,mlb,Fireworks
572057,mlb,Fireworks
572059,mlb,Fireworks
572061,mlb,Fireworks
572089,mlb,Bobblehead
572090,mlb,Fireworks
572095,mlb,Bobblehead
572103,mlb,Bobblehead
572116,mlb,Bobblehead
572126,mlb,Bobblehead
572145,mlb,Fireworks
572153,mlb,Fireworks
572154,mlb,Fireworks
572157,mlb,Fireworks
572158,mlb,Fireworks
572163,mlb,Fireworks
572164,mlb,Fireworks
572167,mlb,Fireworks
572168,mlb,Fireworks
572172,mlb,Fireworks
572173,mlb,Bobblehead
572175,mlb,Fireworks
572176,mlb,Fireworks
572177,mlb,Fireworks
572178,mlb,Fireworks
572181,mlb,Fireworks
572182,mlb,Fireworks
572183,mlb,Bobblehead
572184,mlb,Fireworks
572185,mlb,Fireworks
572189,mlb,Fireworks
572191,mlb,Bobblehead
572195,mlb,Fireworks
572197,mlb,Bobblehead
572198,mlb,Bobblehead
572199,mlb,Fireworks
572200,mlb,Fireworks
572202,mlb,Bobblehead
572206,mlb,Fireworks
572232,mlb,Bobblehead
572235,mlb,Bobblehead
572256,mlb,Bobblehead
572266,mlb,Bobblehead
572284,mlb,Fireworks
572289,mlb,Fireworks
572290,mlb,Fireworks
572292,mlb,Fireworks
572294,mlb,Fireworks
572304,mlb,Fireworks
572307,mlb,Fireworks
572312,mlb,Fireworks
